iter	Passed	Remaining
662	1363	693
663	1365	690
664	1366	688
665	1368	686
666	1369	683
667	1371	681
668	1372	679
669	1374	676
670	1375	674
671	1377	672
672	1378	669
673	1380	667
674	1381	665
675	1383	662
676	1384	660
677	1385	658
678	1387	655
679	1388	653
680	1390	651
681	1391	648
682	1393	646
683	1395	644
684	1396	642
685	1398	639
686	1399	637
687	1401	635
688	1403	633
689	1404	631
690	1406	628
691	1408	626
692	1410	624
693	1411	622
694	1413	620
695	1415	618
696	1416	615
697	1418	613
698	1421	612
699	1423	610
700	1425	608
701	1427	605
702	1428	603
703	1429	601
704	1430	598
705	1432	596
706	1434	594
707	1435	592
708	1437	590
709	1439	587
710	1440	585
711	1442	583
712	1443	581
713	1445	578
714	1447	576
715	1448	574
716	1450	572
717	1451	570
718	1453	567
719	1454	565
720	1456	563
721	1457	561
722	1459	559
723	1460	556
724	1462	554
725	1463	552
726	1465	550
727	1467	548
728	1468	546
729	1470	543
730	1471	541
731	1473	539
732	1474	537
733	1476	535
734	1477	532
735	1479	530
736	1480	528
737	1481	525
738	1482	523
739	1484	521
740	1485	519
741	1487	517
742	1489	515
743	1490	512
744	1492	510
745	1493	508
746	1495	506
747	1496	504
748	1498	502
749	1499	499
750	1501	497
751	1502	495
752	1504	493
753	1505	491
754	1507	489
755	1508	486
756	1510	484
757	1512	482
758	1513	480
759	1515	478
760	1517	476
761	1518	474
762	1520	472
763	1521	470
764	1523	467
765	1525	465
766	1526	463
767	1528	461
768	1529	459
769	1531	457
770	1533	455
771	1534	453
772	1536	451
773	1537	448
774	1539	446
775	1540	444
776	1542	442
777	1543	440
778	1545	438
779	1546	436
780	1548	434
781	1549	431
782	1550	429
783	1552	427
784	1553	425
785	1555	423
786	1556	421
787	1558	419
788	1560	417
789	1562	415
790	1563	413
791	1565	411
792	1566	408
793	1568	406
794	1569	404
795	1571	402
796	1572	400
797	1574	398
798	1575	396
799	1577	394
800	1579	392
801	1581	390
802	1583	388
803	1585	386
804	1587	384
805	1589	382
806	1590	380
807	1592	378
808	1594	376
809	1596	374
810	1598	372
811	1599	370
812	1601	368
813	1603	366
814	1604	364
815	1606	362
816	1607	360
817	1609	358
818	1611	356
819	1612	353
820	1614	351
821	1615	349
822	1616	347
823	1619	345
824	1620	343
825	1622	341
826	1624	339
827	1625	337
828	1626	335
829	1628	333
830	1629	331
831	1631	329
832	1632	327
833	1634	325
834	1635	323
835	1637	321
836	1638	319
837	1639	317
838	1641	315
839	1643	312
840	1644	310
841	1646	308
842	1648	306
843	1649	304
844	1651	302
845	1652	300
846	1654	298
847	1655	296
848	1656	294
849	1658	292
850	1659	290
851	1661	288
852	1662	286
853	1663	284
854	1665	282
855	1666	280
856	1668	278
857	1669	276
858	1671	274
859	1672	272
860	1674	270
861	1675	268
862	1677	266
863	1678	264
864	1680	262
865	1681	260
866	1683	258
867	1685	256
868	1687	254
869	1688	252
870	1690	250
